POZO	BLOQUE	LOCACIÃ“N	X (m)	Y (m)	MD (FT)	TVD (FT)	OPEN HOLE	CASED-HOLE	FECHA	INTERVALO REGISTRADO (FT-FT)	NPHI	RHOB	PEFZ	GR	SP	RESISTIVOS	FECHA 	INTERVALO REGISTRADO (FT-FT)
WELL10	C	CL1	463452.27	753025.51	9191	8394	X		01-11-20	1510-9211	X	X	X	X	X	X	01-11-20	5000-9087
WELL6	C	CL1	461804.85	749275.48	8380	7854.5	X		01-03-21	3998-8355	X	X	X	X	X	X	01-03-21	4000-8301
WELL4	C	CL1	461203.08	748439.38	7844	7655.3	X		01-02-21	1470-7810	X	X	X	X	X	X	01-02-21	4020-7760
WELL5	C	CL1	463595.21	751946.63	8983	8740.6	X		01-04-07	6634-8522	X	X	X	X	X	X	01-04-07	1020-8847
WELL12	B	CL2	460184.29	748509.47	5980	5621.7	X		01-11-18	2500-5974	X	X	X	X	X	X	01-11-18	1046-5718
WELL11	B	CL3	460132.87	747770.91	8234	7976.2	X		01-08-18	1438-7618	X	X	X	X	X	X	01-08-18	1416-7790
WELL8	C	CL1	461706.5	750311.25	7615	7595.9	X		02-02-21	1450-7615	X	X	X	X	X	X	02-02-21	1502-7619
WELL1	C	CL1	463205.81	752419.79	8478	7878.2	X		01-04-21	1170-8486	X	X		X	X	X	01-04-21	4680-8080
WELL2	C	CL1	464239.9	755149.68	8824	8292.6	X		01-09-05	6055-8826	X	X	X	X	X	X	01-09-05	1300-8852
WELL3	C	CL1	463141.72	753194.35	8980	7933.8	X		01-11-05	5410-8966	X	X	X	X	X	X	01-11-05	1400-9042
WELL7	C	CL4	463434.72	753248.78	8813	7945	X		01-07-08	1040-8810	X	X	X	X		*	01-07-08	5990-8860
WELL9	C	CL1	464382.89	754226.26	8983	8740.6	X		01-12-08	6400-8750	X	X	X	X	X	X	01-12-08	975-8994
WELL22	E	CL5	462166.69	751636.77	8189	8123		X	01-08-22	4772-8005	X	X	X	X	X	X	01-02-08	3500-8260
WELL38	C	CL1	462897.33	752762.41	9150	7553.4		X	21-03-21	3906-6924	X	X	X	X	X	X	01-10-06	3930-9216
WELL31	E	CL5	464321.16	754602.1	8353	8150.6		X	16-12-20	2190-7809	X	X	X	X	X	X	01-04-08	5805-8360
WELL34	C	CL1	464751.23	755427.22	8725	8253.8		X	20-09-20	6698-8127				X	X	X	01-10-82	5000-8720
WELL27	C	CL1	464451.9	754397.99	8958	8339		X	13-02-21	7373-8716	X	X	X	X	X	X	01-06-14	1450-8987
WELL21			461704.24	749648.11	8164	7591.2		X	01-12-20	6000-8054	X	X	X	X	X	X	01-01-19	1500-8183
WELL16			461537.18	748529.99	8415	7526.3		X	04-11-20	6740-8280	X	X	X	X	X	X	01-12-18	1462-8419
WELL25	B	CL3	462260.73	749314.65	8813	7914.1		X	12-10-21	6736-8155	X	X	X	X	X	X	01-12-13	980-8847
WELL13	C	CL1	463891.03	753645.21	8430	8007.7		X	12-11-20	6302-8099		X		X	X	X	01-10-80	5950-8423
WELL26	A	CL3	461409.83	748590.96	8316	7552.6		X	13-06-21	6404-8001	X	X	X	X	X	X	01-11-18	1442-8317
WELL33	B	CL3	460061.75	747922.88	5936	5851.84		X	03-05-21	5910-6659	X	X	X	X			01-12-20	1445-6937
WELL35	E	CL5	461535.19	749046.32	8033	7874.1		X	31-08-21	5463-7727	X	X	X	X	X	X	01-02-11	5000-8030
WELL23	C	CL1	463677.09	751615.47	9330	8395.3		X	07-03-21	3990-9032	X	X	X	X	X	X	01-10-14	4000-9372
WELL37	C	CL1	461855.39	749965.72	7728	7554.2		X	26-06-21	5990-7598							12-03-14	1000-7748
WELL19	C	CL1	461529.39	749515.42	8390	7619.2		X	08-12-20	7081-7923	X	X	X	X	X	X	01-03-06	1000-8452
WELL18	C	CL1	462682.85	752656.63	8995	8400.2		X	11-06-21	5282-6195	X	X	X	X	X	X	01-12-06	4690-8073
WELL28	C	CL1	463068.35	752931.24	8470	7607.8		X	20-03-22	5780-8350	X	X	X	X	X	X	01-02-04	3800-8474
WELL36	C	CL1	463571.2	753680.05	8817	7925.9		X	07-12-22	6200-8550	X	X	X	X	X	X	01-08-04	6100-8852
WELL24	E	CL5	462122.91	749562.22	8841	7795		X	11-07-22	6756-7783	X	X	X	X	X	X	01-06-07	5466-8377
WELL14	C	CL1	463851.39	752719.8	9039	8514.8		X	11-12-21	6717-8458	X	X	X	X	X	X	14-01-14	1000-9020
WELL39	C	CL1	462630.18	750847.76	8831	8122.9		X	09-10-21	7500-8637	X	X	X	X	X	X	01-06-21	1520-8831
WELL29	C	CL1	463561.98	751361.88	8623	8444.8		X	01-05-21	6260-8467	X	X	X	X	X	X	01-05-21	1490-8623
WELL17	C	CL1	462922.97	751418.15	8481	8369.7		X	21-08-21	7350-7760	X	X	X	X	X	X	01-05-21	1495-8481
WELL20	C	CL1	462716.25	751986.78	8450	7991.5		X	09-09-21	6227-8346	X	X	X	X	X	X	01-06-21	1491-8450
WELL32	B	CL3	459829	747731.89	7403	7205.5		X	11-03-21	5107-7314	X	X	X	X	X	X	01-01-21	1498-7533
WELL15	B	CL3	460267.63	747853.39	7350	7085.07		X	30-06-22	5318-6923	X	X	X	X	X	X	01-11-20	4000-7348
WELL30	D	CL6	461896.62	750872.21	7507	7471.4		X	01-07-20	3100-3768	X	X		X			01-07-20	1500-7440